667
1 34
2 78
3 129
4 219
5 293
6 373
7 458
8 528
9 620
10 56
11 119
12 194
13 258
14 306
15 363
16 518
17 547
18 639
19 0
20 12
21 336
22 385
23 428
24 472
25 520
26 594
27 612
28 24
29 46
30 60
31 119
32 194
33 363
34 424
35 597
36 20
37 142
38 232
39 281
40 342
41 418
42 489
43 567
44 608
45 15
46 90
47 175
48 250
49 305
50 399
51 470
52 547
53 604
54 70
55 104
56 154
57 204
58 413
59 484
60 542
61 579
62 655
63 1
64 52
65 92
66 159
67 209
68 273
69 339
70 597
71 109
72 184
73 326
74 353
75 436
76 508
77 584
78 645
79 172
80 247
81 271
82 322
83 396
84 449
85 504
86 564
87 637
----------
%%%mzn-stat initTime=0.011079
%%%mzn-stat solveTime=180.021
%%%mzn-stat solutions=14
%%%mzn-stat variables=2545
%%%mzn-stat propagators=1631
%%%mzn-stat propagations=200788464
%%%mzn-stat nodes=1411184
%%%mzn-stat failures=705536
%%%mzn-stat restarts=0
%%%mzn-stat peakDepth=104
%%%mzn-stat-end
