342
1 27
2 102
3 126
4 143
5 173
6 185
7 202
8 89
9 102
10 126
11 155
12 185
13 213
14 233
15 259
16 50
17 64
18 142
19 172
20 186
21 246
22 260
23 298
24 324
25 0
26 15
27 30
28 66
29 172
30 213
31 246
32 294
33 320
34 0
35 11
36 22
37 33
38 45
39 81
40 263
41 18
42 39
43 56
44 71
45 86
46 140
47 155
48 230
49 91
50 105
51 202
52 235
53 276
54 302
55 328
56 119
57 133
58 165
59 195
60 223
61 269
62 287
63 313
----------
%%%mzn-stat initTime=0.007804
%%%mzn-stat solveTime=180.007
%%%mzn-stat solutions=12
%%%mzn-stat variables=1668
%%%mzn-stat propagators=1070
%%%mzn-stat propagations=147120263
%%%mzn-stat nodes=2318117
%%%mzn-stat failures=1158986
%%%mzn-stat restarts=0
%%%mzn-stat peakDepth=78
%%%mzn-stat-end
