451
1 0
2 15
3 147
4 196
5 245
6 281
7 331
8 384
9 411
10 30
11 40
12 50
13 172
14 221
15 297
16 318
17 40
18 60
19 74
20 89
21 104
22 119
23 183
24 232
25 54
26 159
27 268
28 291
29 341
30 373
31 421
32 439
33 74
34 89
35 104
36 119
37 157
38 206
39 266
40 303
41 347
42 134
43 172
44 221
45 255
46 318
47 362
48 398
49 426
50 25
51 35
52 46
53 296
54 306
55 362
56 375
57 395
58 437
59 183
60 208
61 232
62 347
63 395
64 424
65 439
----------
%%%mzn-stat initTime=0.008247
%%%mzn-stat solveTime=180.009
%%%mzn-stat solutions=8
%%%mzn-stat variables=1684
%%%mzn-stat propagators=1090
%%%mzn-stat propagations=184192234
%%%mzn-stat nodes=1951956
%%%mzn-stat failures=975942
%%%mzn-stat restarts=0
%%%mzn-stat peakDepth=82
%%%mzn-stat-end
